resource_type,owner_id,source,id,name,description,canonical_url,concept_class,publisher,source_type,default_locale,public_access,hierarchy_root_url,attr:hierarchy_level,attr:Classification_Place,attr:chapter_number,attr:Terminal_Node,parent_concept_urls
Concept,WHO,ICD-10-WHO,ICD-10,ICD-10 Root Concept,,,Root,,,,,,,,,,
Concept,WHO,ICD-10-WHO,1,Certain infectious and parasitic diseases,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,2,Neoplasms,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,4,"Endocrine, nutritional and metabolic diseases",,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,5,Mental and behavioural disorders,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,6,Diseases of the nervous system,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,7,Diseases of the eye and adnexa,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,8,Diseases of the ear and mastoid process,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,9,Diseases of the circulatory system,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
Concept,WHO,ICD-10-WHO,10,Diseases of the respiratory system,,,Chapter,,,,,,1,N,,,[/orgs/WHO/sources/ICD-10-WHO/concepts/ICD-10/]
