PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
,1,,LP432695-7,{component}
LP432695-7,1,LP432695-7,LP29693-6,Laboratory
LP432695-7.LP29693-6,1,LP29693-6,LP343406-7,Microbiology and Antimicrobial susceptibility
LP432695-7.LP29693-6.LP343406-7,1,LP343406-7,LP7819-8,Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8,1,LP7819-8,LP14559-6,Microorganism
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6,1,LP14559-6,LP98185-9,Bacteria
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9,1,LP98185-9,LP14082-9,Bacteria
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,1,LP14082-9,LP442038-8,Bacteria | Abscess | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442038-8,1,LP442038-8,595-9,Bacteria Absc Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442038-8,2,LP442038-8,107188-5,Bacteria Absc Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442038-8,3,LP442038-8,75357-4,Bacteria Absc Anaerobe+Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,2,LP14082-9,LP442039-6,Bacteria | Amniotic fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442039-6,1,LP442039-6,87929-6,Bacteria Amn Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442039-6,2,LP442039-6,87933-8,Bacteria Amn Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442039-6,3,LP442039-6,596-7,Bacteria Amn Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,3,LP14082-9,LP442040-4,Bacteria | Anal | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442040-4,1,LP442040-4,52966-9,Bacteria Anal Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,4,LP14082-9,LP442041-2,Bacteria | Aspirate | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442041-2,1,LP442041-2,597-5,Bacteria Aspirate Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442041-2,2,LP442041-2,598-3,Bacteria Aspirate Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442041-2,3,LP442041-2,43411-8,Bacteria Aspirate Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,5,LP14082-9,LP418667-4,Bacteria | Bronchoalveolar lavage | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP418667-4,1,LP418667-4,105610-0,Bacteria # BAL Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP418667-4,2,LP418667-4,43441-5,Bacteria BAL Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP418667-4,3,LP418667-4,88683-8,Bacteria BAL Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP418667-4,4,LP418667-4,105917-9,Bacteria BAL Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP418667-4,5,LP418667-4,95074-1,Bacteria BAL Ql Micro
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,6,LP14082-9,LP442042-0,Bacteria | Bartholin cyst | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442042-0,1,LP442042-0,74355-9,Bacteria Barth cyst Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,7,LP14082-9,LP442043-8,Bacteria | Bile fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442043-8,1,LP442043-8,90270-0,Bacteria Bifl Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442043-8,2,LP442043-8,87934-6,Bacteria Bifl Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442043-8,3,LP442043-8,53911-4,Bacteria Bifl Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,8,LP14082-9,LP442044-6,Bacteria | Blood | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,1,LP442044-6,17928-3,Bacteria Bld Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,2,LP442044-6,45275-5,Bacteria Bld Aerobe Cult 25 Deg
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,3,LP442044-6,17934-1,Bacteria Bld Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,4,LP442044-6,45276-3,Bacteria Bld Anaerobe Cult 25 Deg
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,5,LP442044-6,600-7,Bacteria Bld Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,6,LP442044-6,17929-1,Bacteria Bld Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,7,LP442044-6,17935-8,Bacteria Bld Anaerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,8,LP442044-6,48727-2,Bacteria Bld Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,9,LP442044-6,17930-9,Bacteria Bld Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,10,LP442044-6,17936-6,Bacteria Bld Anaerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,11,LP442044-6,48724-9,Bacteria Bld Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,12,LP442044-6,17931-7,Bacteria Bld Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,13,LP442044-6,17932-5,Bacteria Bld Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442044-6,14,LP442044-6,17933-3,Bacteria Bld Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,9,LP14082-9,LP442045-3,Bacteria | Blood cord | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442045-3,1,LP442045-3,87954-4,Bacteria BldCo Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442045-3,2,LP442045-3,87955-1,Bacteria BldCo Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,10,LP14082-9,LP373670-1,Bacteria | Body fluid | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,1,LP373670-1,610-6,Bacteria Fld Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,2,LP373670-1,17956-4,Bacteria Fld Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,3,LP373670-1,611-4,Bacteria Fld Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,4,LP373670-1,99932-6,Bacteria Fld Ql Auto
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,5,LP373670-1,41599-2,Bacteria Fld Ql Micro
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,6,LP373670-1,17951-5,Bacteria Fld Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,7,LP373670-1,17957-2,Bacteria Fld Anaerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,8,LP373670-1,17952-3,Bacteria Fld Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,9,LP373670-1,17958-0,Bacteria Fld Anaerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,10,LP373670-1,17953-1,Bacteria Fld Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,11,LP373670-1,17954-9,Bacteria Fld Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP373670-1,12,LP373670-1,17955-6,Bacteria Fld Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,11,LP14082-9,LP442046-1,Bacteria | Bone | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,1,LP442046-1,602-3,Bacteria Bone Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,2,LP442046-1,75358-2,Bacteria Bone Anaerobe+Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,3,LP442046-1,17873-1,Bacteria Bone Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,4,LP442046-1,17874-9,Bacteria Bone Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,5,LP442046-1,17875-6,Bacteria Bone Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,6,LP442046-1,17876-4,Bacteria Bone Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442046-1,7,LP442046-1,17877-2,Bacteria Bone Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,12,LP14082-9,LP442047-9,Bacteria | Bone marrow | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442047-9,1,LP442047-9,19126-2,Bacteria Mar Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442047-9,2,LP442047-9,75359-0,Bacteria Mar Anaerobe+Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442047-9,3,LP442047-9,60258-1,Bacteria Mar Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,13,LP14082-9,LP442048-7,Bacteria | Bronchial | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,1,LP442048-7,32810-4,Bacteria Bronch
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,2,LP442048-7,604-9,Bacteria Bronch Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,3,LP442048-7,105932-8,Bacteria Bronch Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,4,LP442048-7,17878-0,Bacteria Bronch Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,5,LP442048-7,17879-8,Bacteria Bronch Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,6,LP442048-7,17880-6,Bacteria Bronch Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,7,LP442048-7,17881-4,Bacteria Bronch Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442048-7,8,LP442048-7,17882-2,Bacteria Bronch Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,14,LP14082-9,LP442049-5,Bacteria | Bronchial brush | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442049-5,1,LP442049-5,43442-3,Bacteria Bro Brush Aerobe Cult
