LOINC,MAP_TO,COMMENT
1009-0,1007-4,
101408-3,102124-5,
10165-9,11358-9,
101721-9,94531-1,
101779-7,101936-3,
101780-5,101943-9,
101806-8,106941-8,
101969-4,103778-7,
101982-7,92131-2,
102113-8,103156-6,
102519-6,102518-8,
103202-8,94531-1,
10356-4,6469-1,
103716-7,101363-0,
104070-8,103797-7,
10440-6,10432-3,
1045-4,1042-1,
1046-2,1043-9,
1047-0,1044-7,
104708-3,53553-4,
104728-1,19237-7,
104764-6,11555-0,
104797-6,19235-1,
105092-1,1927-3,
1052-0,14983-1,
10532-0,6774-4,
10537-9,3582-4,
1053-8,14984-9,
10538-7,10339-0,
1054-6,14985-6,
10550-2,10343-2,
1055-3,14983-1,
10554-4,1713-7,
10556-9,1730-1,
10559-3,1999-2,
1056-1,14984-9,
10566-8,2105-5,
10571-8,32789-0,
10575-9,2323-4,
1057-9,14985-6,
10581-7,72517-6,
10584-1,2884-5,
10586-6,3160-9,
10595-7,9780-8,
10596-5,31630-7,Ordinal
10596-5,5360-3,Quantitative
10597-3,31631-5,Ordinal
10597-3,5361-1,Quantitative
10598-1,31631-5,Ordinal
10598-1,5362-9,Quantitative
1061-1,1058-7,
1062-9,1059-5,
1063-7,1060-3,
10640-1,31709-9,
10640-1,6306-5,
1064-5,10398-6,
1065-2,10399-4,
10657-5,70908-9,
1066-0,10400-0,
10682-3,10351-5,
10714-4,8011-9,
10771-4,6677-9,
10786-2,6662-1,Microscopic observation [Identifier] in Tissue by Giemsa stain
10816-7,6678-7,
10820-9,6679-5,
10821-7,6682-9,
10830-8,10222-8,
10842-3,4933-8,
10843-1,4935-3,
10844-9,4937-9,
10845-6,4939-5,
10852-2,601-5,
10854-8,10662-5,
10875-3,24449-1,
10876-1,19074-4,
10877-9,14285-1,
10887-8,34368-1,
10890-2,10546-0,
10908-2,86142-7,
10962-9,7681-0,
11022-1,29161-7,Meconium testing should be reported in mass content (ex. Units ng/g)
11023-9,29160-9,Meconium testing should be reported in mass content (ex. Units ng/g)
11025-4,29159-1,Meconium testing should be reported in mass content (ex. Units ng/g)
11026-2,27262-5,Meconium testing should be reported in mass content (ex. Units ng/g)
11036-1,2299-6,
11049-4,2451-3,
1109-8,1116-3,
1109-8,1121-3,
1109-8,1142-9,
1109-8,1147-8,
11123-7,11120-3,
11131-0,11104-7,
11132-8,1974-5,
11136-9,11116-1,
11137-7,11119-5,
11148-4,33949-9,
11148-4,43222-9,
