PartNumber,PartTypeName,PartName,PartDisplayName,Status
LP101394-7,ADJUSTMENT,adjusted for maternal weight,adjusted for maternal weight,ACTIVE
LP101907-6,ADJUSTMENT,corrected for age,corrected for age,ACTIVE
LP115711-6,ADJUSTMENT,corrected for background,corrected for background,ACTIVE
LP147359-6,ADJUSTMENT,adjusted for body weight,adjusted for body weight,ACTIVE
LP173482-3,ADJUSTMENT,1st specimen,1st specimen,DEPRECATED
LP173483-1,ADJUSTMENT,post cyanocobalamin,post cyanocobalamin,ACTIVE
LP190769-2,ADJUSTMENT,adjusted for lean body mass+urine creatinine,adjusted for lean body mass+urine creatinine,ACTIVE
LP20174-6,ADJUSTMENT,adjusted,adjusted,ACTIVE
LP20187-8,ADJUSTMENT,unadjusted,unadjusted,ACTIVE
LP20440-1,ADJUSTMENT,corrected for nucleated erythrocytes,corrected for nucleated erythrocytes,ACTIVE
LP20441-9,ADJUSTMENT,hematocrit adjusted,hematocrit adjusted,ACTIVE
LP20595-2,ADJUSTMENT,corrected for total protein,corrected for total protein,ACTIVE
LP20603-4,ADJUSTMENT,adjusted to pH 7.4,adjusted to pH 7.4,ACTIVE
LP20606-7,ADJUSTMENT,saturation adjusted to 0.5,saturation adjusted to 0.5,ACTIVE
LP20607-5,ADJUSTMENT,standard,standard,ACTIVE
LP20608-3,ADJUSTMENT,adjusted to patient's actual temperature,adjusted to patient's actual temperature,ACTIVE
LP20617-4,ADJUSTMENT,adjusted for sex hormone binding globulin,adjusted for sex hormone binding globulin,ACTIVE
LP208932-6,ADJUSTMENT,adjusted for age+sex+race+BMI,adjusted for age+sex+race+BMI,ACTIVE
LP241992-9,ADJUSTMENT,adjusted for age,age adjusted,ACTIVE
LP242679-1,ADJUSTMENT,adjusted for age+sex+race+ethnicity+educational attainment,fully adjusted,ACTIVE
LP29645-6,ADJUSTMENT,corrected for albumin,corrected for albumin,ACTIVE
LP310257-3,ADJUSTMENT,standardized per IFCC-RMP for CDT,standardized per IFCC-RMP for CDT,ACTIVE
LP36655-6,ADJUSTMENT,adjusted for diabetes+weight,adjusted for diabetes+weight,ACTIVE
LP36656-4,ADJUSTMENT,adjusted for weight,adjusted for weight,ACTIVE
LP36657-2,ADJUSTMENT,adjusted for diabetes,adjusted for diabetes,ACTIVE
LP418256-6,ADJUSTMENT,corrected for glycerol,corrected for glycerol,ACTIVE
LP421238-9,ADJUSTMENT,corrected for ambient CO,corrected for ambient CO,ACTIVE
LP426374-7,ADJUSTMENT,at end expiration+W sub-maximal exercise,at end expiration+W sub-maximal exercise,ACTIVE
LP426574-2,ADJUSTMENT,normalized,normalized,ACTIVE
LP445667-1,ADJUSTMENT,adjusted to eucapnic level,adjusted to eucapnic level,ACTIVE
LP446007-9,ADJUSTMENT,adjusted for eGFR,adjusted for eGFR,ACTIVE
LP446109-3,ADJUSTMENT,liposome inhaled breakpoints,liposome inhaled breakpoints,ACTIVE
LP65567-7,ADJUSTMENT,adjusted for multiple gestations,adjusted for multiple gestations,ACTIVE
LP66337-4,ADJUSTMENT,corrected for glucose,corrected for glucose,ACTIVE
LP71889-7,ADJUSTMENT,adjusted for hemoglobin,adjusted for hemoglobin,ACTIVE
LP71890-5,ADJUSTMENT,adjusted to body conditions,adjusted to body conditions,ACTIVE
LP71891-3,ADJUSTMENT,uncorrected for compressible gas volume setting,uncorrected for compressible gas volume setting,ACTIVE
LP71892-1,ADJUSTMENT,corrected for compressible gas volume,corrected for compressible gas volume,ACTIVE
LP94499-8,ADJUSTMENT,uncorrected for compressible gas volume,uncorrected for compressible gas volume,ACTIVE
LP97015-9,ADJUSTMENT,adjusted to specific gravity 1.024,adjusted to specific gravity 1.024,ACTIVE
LP99753-3,ADJUSTMENT,corrected for heart rate,corrected for heart rate,ACTIVE
LP100005-0,CHALLENGE,post 6 mg dexamethasone PO overnight,post 6 mg dexamethasone PO overnight,ACTIVE
LP100697-4,CHALLENGE,7 AM specimen,7 AM specimen,ACTIVE
LP101161-0,CHALLENGE,2.75H post dose lactose PO,2.75 hours post dose lactose PO,ACTIVE
LP101162-8,CHALLENGE,2.25H post dose lactose PO,2.25 hours post dose lactose PO,ACTIVE
LP101163-6,CHALLENGE,1.75H post dose lactose PO,1.75 hours post dose lactose PO,ACTIVE
LP101164-4,CHALLENGE,1.25H post dose lactose PO,1.25 hours post dose lactose PO,ACTIVE
LP101880-5,CHALLENGE,during expiration,during expiration,ACTIVE
LP101881-3,CHALLENGE,during inspiration,during inspiration,ACTIVE
LP101943-1,CHALLENGE,at end expiration,at end expiration,ACTIVE
LP111141-0,CHALLENGE,Breath,Breath,ACTIVE
LP111513-0,CHALLENGE,8th specimen post CFst,8th specimen post CFst,ACTIVE
LP111514-8,CHALLENGE,9th specimen post CFst,9th specimen post CFst,ACTIVE
LP111515-5,CHALLENGE,10th specimen post CFst,10th specimen post CFst,ACTIVE
LP115673-8,CHALLENGE,end of expiration,end of expiration,ACTIVE
LP121112-9,CHALLENGE,W methacholine inhaled,W methacholine inhaled,ACTIVE
LP128681-6,CHALLENGE,afternoon specimen,afternoon specimen,ACTIVE
LP129061-0,CHALLENGE,30M post maximum clot amplitude,30 minutes post maximum clot amplitude,ACTIVE
LP129068-5,CHALLENGE,30M after maximum clot amplitude after addition of heparinase,30 min p max clot amplitude + heparinase,ACTIVE
LP129071-9,CHALLENGE,60M post maximum clot amplitude,60M post maximum clot amplitude,ACTIVE
LP133229-7,CHALLENGE,beginning of call,beginning of call,ACTIVE
LP133232-1,CHALLENGE,end of call,end of call,ACTIVE
LP133413-7,CHALLENGE,after addition of normal plasma 2H post incubation separate tubes,after addition of normal plasma 2 hours post incubation separate tubes,ACTIVE
LP135214-7,CHALLENGE,patient arrival,patient arrival,ACTIVE
LP135215-4,CHALLENGE,patient destination,patient destination,ACTIVE
LP135483-8,CHALLENGE,at delivery,at delivery,ACTIVE
LP135595-9,CHALLENGE,90M post exercise,90 minutes post exercise,ACTIVE
LP135596-7,CHALLENGE,110M post exercise,110 minutes post exercise,ACTIVE
LP135597-5,CHALLENGE,130M post exercise,130 minutes post exercise,ACTIVE
LP135600-7,CHALLENGE,15M post exercise,15 minutes post exercise,ACTIVE
LP135804-5,CHALLENGE,WO & W contrast,WO and W contrast,ACTIVE
LP136078-5,CHALLENGE,developmental joint assessment,developmental joint assessment,ACTIVE
LP136176-7,CHALLENGE,20M post excision,20 minutes post excision,ACTIVE
LP136290-6,CHALLENGE,after maximum clot amplitude,after maximum clot amplitude,ACTIVE
LP136303-7,CHALLENGE,at dispatch,at dispatch,ACTIVE
LP140231-4,CHALLENGE,premenopausal,premenopausal,ACTIVE
LP140232-2,CHALLENGE,postmenopausal,postmenopausal,ACTIVE
LP140677-8,CHALLENGE,post 25 mg/mL methacholine,post 25 mg/mL methacholine,ACTIVE
LP145288-9,CHALLENGE,12H post dose ifosfamide,12 hours post dose ifosfamide,ACTIVE
LP145289-7,CHALLENGE,post dose ifosfamide,post dose ifosfamide,ACTIVE
LP145290-5,CHALLENGE,7D post dose ifosfamide,7 days post dose ifosfamide,ACTIVE
LP145541-1,CHALLENGE,20M post dose lactose PO,20 minutes post dose lactose PO,ACTIVE
LP145542-9,CHALLENGE,40M post dose lactose PO,40 minutes post dose lactose PO,ACTIVE
LP145592-4,CHALLENGE,post dialysis/pre dialysis,post dialysis/pre dialysis,ACTIVE
LP150046-3,CHALLENGE,at peritoneal dialysis adequacy measurement,at peritoneal dialysis adequacy measurement,ACTIVE
LP156504-5,CHALLENGE,PM trough specimen,PM trough specimen,ACTIVE
LP156505-2,CHALLENGE,AM peak specimen,AM peak specimen,ACTIVE
LP157148-0,CHALLENGE,pre contrast,pre contrast,ACTIVE
LP157347-8,CHALLENGE,post dose HCG,post dose HCG,ACTIVE
LP157348-6,CHALLENGE,pre dose HCG,pre dose HCG,ACTIVE
LP157517-6,CHALLENGE,W contrast IV+W air contrast PR,W contrast IV and W air contrast PR,ACTIVE
LP157794-1,CHALLENGE,post ejaculate,post ejaculate,ACTIVE
LP172879-1,CHALLENGE,pre dialysis-post dialysis,pre dialysis - post dialysis,ACTIVE
LP173487-2,CHALLENGE,2nd specimen/Streptococcus pneumoniae 12f Ab,2nd specimen/Streptococcus pneumoniae 12f Ab,DEPRECATED
LP173488-0,CHALLENGE,post amniocentesis,post amniocentesis,DEPRECATED
LP173490-6,CHALLENGE,pre amniocentesis,pre amniocentesis,DEPRECATED
LP173492-2,CHALLENGE,2nd specimen/Streptococcus pneumoniae 14 Ab,2nd specimen/Streptococcus pneumoniae 14 Ab,DEPRECATED
LP173496-3,CHALLENGE,1H post 250 ug cortrosyn IM,1H post 250 ug cortrosyn IM,DEPRECATED
LP173497-1,CHALLENGE,30M post 250 ug cortrosyn IM,30M post 250 ug cortrosyn IM,DEPRECATED
LP29693-6,CLASS,Lab,Laboratory,ACTIVE
LP343406-7,CLASS,Microbiology and Antimicrobial susceptibility,Microbiology and Antimicrobial susceptibility,ACTIVE
LP7819-8,CLASS,MICRO,Microbiology,ACTIVE
LP113735-7,COMPONENT,Bacterial heat-stable enterotoxin ST gene,Bacterial heat-stable enterotoxin ST gene,ACTIVE
LP14082-9,COMPONENT,Bacteria,Bacteria,ACTIVE
LP14559-6,COMPONENT,Microorganism,Microorganism,ACTIVE
LP98185-9,COMPONENT,Bacteria.,Bacteria,ACTIVE
