AnswerListId,AnswerListName,AnswerListOID,ExtDefinedYN,ExtDefinedAnswerListCodeSystem,ExtDefinedAnswerListLink,AnswerStringId,LocalAnswerCode,LocalAnswerCodeSystem,SequenceNumber,DisplayText,ExtCodeId,ExtCodeDisplayName,ExtCodeSystem,ExtCodeSystemVersion,ExtCodeSystemCopyrightNotice,SubsequentTextPrompt,Description,Score
LL1000-0,PhenX05_13_30D bread amt,1.3.6.1.4.1.12009.10.1.165,N,,,LA13825-7,1,,1,1 slice or 1 dinner roll,,,,,,,,
LL1000-0,PhenX05_13_30D bread amt,1.3.6.1.4.1.12009.10.1.165,N,,,LA13838-0,2,,2,2 slices or 2 dinner rolls,,,,,,,,
LL1000-0,PhenX05_13_30D bread amt,1.3.6.1.4.1.12009.10.1.165,N,,,LA13892-7,3,,3,More than 2 slices or 2 dinner rolls,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA6270-8,0,,1,Never,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13836-4,1,,2,1-3 times per month,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13834-9,2,,3,1-2 times per week,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13853-9,3,,4,3-4 times per week,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13860-4,4,,5,5-6 times per week,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13827-3,5,,6,1 time per day,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13840-6,6,,7,2 times per day,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13851-3,7,,8,3 times per day,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13854-7,8,,9,4 times per day,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA13858-8,9,,10,5 or more times per day,,,,,,,,
LL1001-8,PhenX05_14_30D freq amts,1.3.6.1.4.1.12009.10.1.166,N,,,LA4389-8,97,,11,Refused,,,,,,,,
